,MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type,size,color
3648,0a:30:0d:94:ff:36,Korail_WiFi_Free,[ESS],2022-11-08 11:31:53,36,-73,35.8497849,127.1618759,79.0,36.900001525878906,WIFI,1,16711680
3649,24:de:c6:3b:70:73,KTX-WiFi-Secure,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2022-11-08 11:31:53,149,-70,35.8497849,127.1618759,79.0,36.900001525878906,WIFI,1,16711680
3650,24:de:c6:3b:70:72,KTX-WiFi-Free,[ESS],2022-11-08 11:31:53,149,-65,35.8497849,127.1618759,79.0,36.900001525878906,WIFI,1,16711680
3651,0a:96:91:9a:e1:fb,Galaxy Note10+ 5G5745,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-11-08 11:31:53,149,-87,35.8497849,127.1618759,79.0,36.900001525878906,WIFI,1,16711680
3652,24:de:c6:3b:b1:13,KTX-WiFi-Secure,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2022-11-08 11:31:53,40,-90,35.8497849,127.1618759,79.0,36.900001525878906,WIFI,1,16711680
3653,24:de:c6:3b:b1:12,KTX-WiFi-Free,[ESS],2022-11-08 11:31:53,40,-90,35.8497849,127.1618759,79.0,36.900001525878906,WIFI,1,16711680
3654,0a:30:0d:94:ff:31,KT WiFi ,[ESS],2022-11-08 11:31:53,36,-73,35.8497849,127.1618759,79.0,36.900001525878906,WIFI,1,16711680
3655,d2:24:81:6b:1d:4a,AndroidHotspot2646,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-11-08 11:31:53,6,-51,35.8497849,127.1618759,79.0,36.900001525878906,WIFI,1,16711680
3656,48:c0:93:87:73:22,KTX-WiFi-Secure,[WPA-EAP/SHA1-CCMP][ESS],2022-11-08 11:31:53,157,-45,35.8497849,127.1618759,79.0,36.900001525878906,WIFI,1,16711680
3657,48:c0:93:87:73:21,KTX-WiFi-Free,[ESS],2022-11-08 11:31:53,157,-44,35.8497849,127.1618759,79.0,36.900001525878906,WIFI,1,16711680
3658,00:30:0d:94:ff:30,KT WiFi,[WPA2-EAP/SHA1-CCMP+TKIP][RSN-EAP/SHA1-CCMP+TKIP][WPA-EAP/SHA1-CCMP+TKIP][ESS],2022-11-08 11:31:53,36,-73,35.8497849,127.1618759,79.0,36.900001525878906,WIFI,1,16711680
3659,48:c0:93:7f:ca:21,KTX-WiFi-Free,[ESS],2022-11-08 11:31:53,157,-50,35.8497849,127.1618759,79.0,36.900001525878906,WIFI,1,16711680
3660,48:c0:93:7f:ca:22,KTX-WiFi-Secure,[WPA-EAP/SHA1-CCMP][ESS],2022-11-08 11:31:53,157,-49,35.8497849,127.1618759,79.0,36.900001525878906,WIFI,1,16711680
3661,6c:d3:ee:06:9d:6e,,Uncategorized;10,2022-11-08 11:31:53,7936,-79,35.8497849,127.1618759,79.0,36.900001525878906,BT,1,16711680
3662,6c:8e:53:bc:99:00,,Uncategorized;10,2022-11-08 11:31:53,7936,-64,35.8497849,127.1618759,79.0,36.900001525878906,BT,1,16711680
3663,52:e6:0b:05:8b:29,,Uncategorized;10,2022-11-08 11:31:53,7936,-84,35.8497849,127.1618759,79.0,36.900001525878906,BT,1,16711680
3664,6b:57:94:08:38:21,,Uncategorized;10,2022-11-08 11:31:53,7936,-71,35.8497849,127.1618759,79.0,36.900001525878906,BT,1,16711680
3665,65:44:ea:f2:b2:07,,Uncategorized;10,2022-11-08 11:31:53,7936,-73,35.8497849,127.1618759,79.0,36.900001525878906,BT,1,16711680
3666,4a:1c:98:87:ea:02,,Uncategorized;10,2022-11-08 11:31:53,7936,-65,35.8497849,127.1618759,79.0,36.900001525878906,BT,1,16711680
3667,4e:9b:52:7c:1f:39,,Uncategorized;10,2022-11-08 11:31:53,7936,-67,35.8497849,127.1618759,79.0,36.900001525878906,BT,1,16711680
3668,4f:0b:c4:d9:20:0c,,Uncategorized;10,2022-11-08 11:31:53,7936,-91,35.8497849,127.1618759,79.0,36.900001525878906,BT,1,16711680
3669,47:e5:51:f9:d5:e3,,Uncategorized;10,2022-11-08 11:31:53,7936,-90,35.8497849,127.1618759,79.0,36.900001525878906,BT,1,16711680
3670,59:3f:49:09:54:8d,T5_xr829,Car Audio;10,2022-11-08 11:31:53,1056,-63,35.8497849,127.1618759,79.0,36.900001525878906,BT,1,16711680
3671,78:26:83:f8:fd:0d,,Uncategorized;10,2022-11-08 11:31:57,7936,-75,35.8497849,127.1618759,79.0,36.900001525878906,BT,1,16711680
3672,5c:03:0c:d1:bc:31,,Uncategorized;10,2022-11-08 11:31:57,7936,-83,35.8497849,127.1618759,79.0,36.900001525878906,BT,1,16711680
