,MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type,size,color
9165,54:78:1a:5e:74:10,████████████,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2022-11-09 03:21:49,5,-63,█████████,███████████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9166,88:f0:77:ac:6c:1f,████████████,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2022-11-09 03:21:49,44,-39,█████████████,██████████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9167,88:f0:77:ac:6c:1e,eduroam,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2022-11-09 03:21:49,44,-39,███████,█████████████████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9168,88:36:6c:7c:3d:e8,STARTUP 5G,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-11-09 03:21:49,149,-49,███████████,███████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9169,88:f0:77:ac:6c:11,eduroam,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2022-11-09 03:21:49,1,-55,██████████████,████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9170,88:f0:77:ac:6c:10,████████████,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2022-11-09 03:21:49,1,-53,███████████,█████████████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9171,88:f0:77:bf:0f:20,████████████,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2022-11-09 03:21:49,13,-68,████████,███████████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9172,88:f0:77:bf:0f:21,eduroam,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2022-11-09 03:21:49,13,-67,███████████,██████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9173,70:5d:cc:ad:89:34,startup214_1 2.4Ghz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-11-09 03:21:49,11,-63,███████████████████,████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9174,70:5d:cc:ad:89:36,startup214_1 5Ghz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-11-09 03:21:49,149,-61,█████████,█████████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9175,62:09:ce:a5:2c:b7,Noah's Galaxy S22 Ultra,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-11-09 03:21:49,6,-41,██████,███████████████████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9176,f2:2e:70:99:67:29,1336S21,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-11-09 03:21:49,1,-78,█████,████████████████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9177,90:9f:33:af:db:86,Kubs 2.4,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-11-09 03:21:49,9,-67,█████,██████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9178,70:5d:cc:ad:99:de,startup214_2 5Ghz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-11-09 03:21:49,157,-62,██████████████████,█████████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9179,88:f0:77:be:95:10,████████████,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2022-11-09 03:21:49,9,-53,████,█████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9180,88:f0:77:be:95:11,eduroam,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2022-11-09 03:21:49,9,-55,██████████████,█████████████████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9181,90:9f:33:df:61:60,BM106 5G,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-11-09 03:21:49,149,-87,████,█████████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9182,54:78:1a:5e:64:0e,eduroam,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2022-11-09 03:21:49,36,-63,███████████████,█████████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9183,88:f0:77:ac:94:de,eduroam,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2022-11-09 03:21:49,36,-85,██████,██████████████████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9184,88:f0:77:ac:94:df,████████████,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2022-11-09 03:21:49,36,-85,██████,████████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9185,54:78:1a:5e:64:0f,████████████,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2022-11-09 03:21:49,36,-63,███████,███████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9186,54:78:1a:5e:7b:de,eduroam,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2022-11-09 03:21:49,44,-84,██████████,██████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9187,f2:6f:62:5b:4d:dd,,Uncategorized,2022-11-09 03:21:49,7936,-86,████████████████,███████,58.20000076293945,12.91800022125244,BT,1,16711680
9188,41:f0:4f:28:e9:76,,Uncategorized;10,2022-11-09 03:21:49,7936,-70,██████████████,█████████████,58.20000076293945,12.91800022125244,BT,1,16711680
9189,51:a3:27:4e:50:c1,,Uncategorized;10,2022-11-09 03:21:49,7936,-73,███████████████████,███████████████████,58.20000076293945,12.91800022125244,BT,1,16711680
9190,68:30:ed:8e:57:39,,Uncategorized,2022-11-09 03:21:49,7936,-68,██████████████,██████████,58.20000076293945,12.91800022125244,BT,1,16711680
9191,6b:f0:50:5a:eb:e7,,Uncategorized;10,2022-11-09 03:21:49,7936,-58,███████████,█████████████,58.20000076293945,12.91800022125244,BT,1,16711680
9192,4b:ba:0d:68:cd:d5,,Uncategorized;10,2022-11-09 03:21:49,7936,-82,██████████████████,███████████,58.20000076293945,12.91800022125244,BT,1,16711680
9193,2e:9a:63:b6:b7:f4,,Uncategorized;10,2022-11-09 03:21:49,7936,-94,██████████████,███████,58.20000076293945,12.91800022125244,BT,1,16711680
9194,3f:fd:b3:68:45:70,,Uncategorized;10,2022-11-09 03:21:49,7936,-90,██████████,███████████████████,58.20000076293945,12.91800022125244,BT,1,16711680
9195,73:92:e3:54:6d:b6,,Uncategorized,2022-11-09 03:21:49,7936,-87,███████████,██████████████████,58.20000076293945,12.91800022125244,BT,1,16711680
9196,7f:bd:b1:d4:0a:60,,Uncategorized;10,2022-11-09 03:21:49,7936,-96,███████████,███████████████████,58.20000076293945,12.91800022125244,BT,1,16711680
9197,3c:9c:0f:f2:49:f9,,Laptop;10,2022-11-09 03:21:49,268,-97,███████████,████████████,58.20000076293945,12.91800022125244,BT,1,16711680
9198,5a:9c:74:3c:c3:15,,Uncategorized;10,2022-11-09 03:21:49,7936,-93,████████████████████,█████,58.20000076293945,12.91800022125244,BT,1,16711680
9199,74:1f:27:a1:60:28,,Uncategorized,2022-11-09 03:21:49,7936,-75,██████████████,██████████,58.20000076293945,12.91800022125244,BT,1,16711680
9200,f8:63:3f:2d:e0:6e,,Laptop;10,2022-11-09 03:21:55,268,-96,██████████████████,████████████,58.20000076293945,12.91800022125244,BT,1,16711680
9201,8c:85:90:65:60:d5,???? MacBook Pro,Laptop;10,2022-11-09 03:21:55,268,-77,█████,█████████,58.20000076293945,12.91800022125244,BT,1,16711680
9202,7d:c6:55:09:96:e6,,Uncategorized;10,2022-11-09 03:21:55,7936,-72,███████████████████,████████████████████,58.20000076293945,12.91800022125244,BT,1,16711680
9203,4f:ac:3c:88:39:cf,,Uncategorized;10,2022-11-09 03:21:55,7936,-84,███████████████,███████,58.20000076293945,12.91800022125244,BT,1,16711680
9204,7f:9d:ff:a6:6a:6f,,Uncategorized;10,2022-11-09 03:21:55,7936,-96,██████████████,██████,58.20000076293945,12.91800022125244,BT,1,16711680
9205,70:ee:77:4d:e3:93,,Uncategorized;10,2022-11-09 03:21:55,7936,-84,██████,█████████████████,58.20000076293945,12.91800022125244,BT,1,16711680
9206,69:28:87:9d:08:e3,,Uncategorized,2022-11-09 03:21:55,7936,-86,████,█████████,58.20000076293945,12.91800022125244,BT,1,16711680
9207,88:36:6c:7c:3d:ea,STARTUP 2.4GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-11-09 03:21:55,3,-43,██████████████████,██████████████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9208,54:78:1a:5e:74:1e,eduroam,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2022-11-09 03:21:55,100,-68,██████,█████████████████,58.20000076293945,12.91800022125244,WIFI,1,16711680
9209,54:78:1a:5e:74:1f,████████████,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2022-11-09 03:21:55,100,-67,████████████████,███,58.20000076293945,12.91800022125244,WIFI,1,16711680
