,MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type,size,color
0,dc:90:88:1d:6e:8d,LGUPLUS-2304,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-11-08 06:57:08,1,-43,█████,████,186.7,8.300000190734863,WIFI,1,16711680
1,00:40:5a:c7:7b:09,U+ZONE,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-11-08 06:57:08,5,-44,███████████,████████,186.7,8.300000190734863,WIFI,1,16711680
2,00:40:5a:c7:7b:0b,FREE_U+zone,[ESS],2022-11-08 06:57:08,5,-48,████████████,████████████,186.7,8.300000190734863,WIFI,1,16711680
3,0b:d8:b5:44:7c:03,,Uncategorized;10,2022-11-08 06:57:08,7936,-94,█████████████████,███,186.7,8.300000190734863,BT,1,16711680
4,7f:cc:14:a2:83:b9,,Misc,2022-11-08 06:57:08,7936,-85,███,███████,186.7,8.300000190734863,BLE,1,16711680
5,7b:62:cc:00:23:ec,,Uncategorized,2022-11-08 06:57:08,7936,-88,███████████,████████████████,186.7,8.300000190734863,BLE,1,16711680
6,70:3a:3a:26:21:c3,,Misc,2022-11-08 06:57:08,7936,-78,████████████████,█████████████,186.7,8.300000190734863,BLE,1,16711680
7,4a:92:ea:f3:0f:f9,,Uncategorized;10,2022-11-08 06:57:08,7936,-76,████████████████,█████████████████,186.7,8.300000190734863,BT,1,16711680
8,5d:3a:d6:6a:0b:16,,Uncategorized,2022-11-08 06:57:08,7936,-67,███████,██████,186.7,8.300000190734863,BLE,1,16711680
9,72:b3:7c:28:d5:ed,,Misc,2022-11-08 06:57:08,7936,-85,████████,█████,186.7,8.300000190734863,BLE,1,16711680
10,71:bf:a1:a4:33:bd,,Uncategorized;10,2022-11-08 06:57:08,7936,-74,████████████,█████████████████,186.7,8.300000190734863,BLE,1,16711680
11,76:39:73:29:d6:1d,,Misc,2022-11-08 06:57:08,7936,-89,██████████████████,███████████,186.7,8.300000190734863,BLE,1,16711680
